Source ID,Date,Time (UTC),Affiliation,SNAP deduced,SNAP certain,NFR code,Latitude,Longitude,Wind dir.,Wind (m/s),Met. Location,Source type,Sampling method,Location,City,Region,Country,Continent,Campaign,Sample Receptacle,Field comment,Measurement type,Measurement lab,n d13C,Source d13C VPDB [‰],+-,r2 d13C,x(CH4) excess d13C [ppb],+-,n dD,Source dD SMOW [‰],+-,r2 dD,x(CH4) excess dD [ppb],+-,Regression method
ESR8_197,12/08/2019,nan,LU,Wetlands,Wetlands,nan,68.35138900,18.87833300,nan,nan,nan,Arctic swamp,Soil chambers,Kursflaket,Abisko,Lapland,Sweden,Europe,ESR4,Supelco Flexfoil bags,nan,IRMS,UU,5,-62.42,0.0384,0.994435924,2523,17,5,-374.9,2.149428781,0.999758522,2468,35,ODR
ESR8_268,10/10/2019,nan,RUG,Fossil fuel,Fossil fuel,1B2,44.95660000,25.76350000,nan,nan,nan,Gas well,"Mobile aircore, drone","ROM 2563, C6_01",Târgoviște,Wallachia,Romania,Europe,ROMEO,Supelco Flexfoil bags,nan,IRMS,UU,2,-62.46,5.2427,1,67.61,20,2,-369.4,94.67751503,1,57.45,20,ODR
ESR8_188,12/08/2019,nan,LU,Wetlands,Wetlands,nan,68.34750000,18.96527800,nan,nan,nan,Arctic swamp,Soil chambers,Storflaket,Abisko,Lapland,Sweden,Europe,ESR4,Supelco Flexfoil bags,nan,IRMS,UU,4,-88.36,0.7112,0.99454473,383,6,4,-363.9,10.93139226,0.996695266,392,13,ODR
ESR8_257,09/10/2019,nan,RUG,Fossil fuel,Fossil fuel,1B2,44.93830000,25.86000000,nan,nan,nan,Oil well,"Mobile aircore, drone","ROM 2683, C7_01",Ploiești,Wallachia,Romania,Europe,ROMEO,Supelco Flexfoil bags,nan,IRMS,UU,3,-73.34,7.5475,0.963868701,47.27,13,3,-363.1,171.2485749,0.570697081,41.72,14.33,ODR
ESR9_171,28/08/2019,nan,RHUL/UU,Waste,Waste,5D,44.39059000,26.08953000,nan,nan,nan,Urban streets,"Mobile inlet, car",Str Sergent Tablan Dumitru,Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU/RHUL,2,-50.17,0.0004,1,5809.238743,0.001728848,2,-362.3,0.009539,1,5602.543048,0.00434,BSCE Bisector
ESR8_294,16/10/2019,nan,RUG,Fossil fuel,Fossil fuel,1B2,44.90070000,25.33150000,nan,nan,nan,Oil well,"Mobile aircore, drone","ROM 3578, C6_07",Târgoviște,Wallachia,Romania,Europe,ROMEO,Supelco Flexfoil bags,nan,IRMS,UU,2,-64.61,2.2345,1,117.56,11.86,2,-358.1,44.11666608,1,111.18,12.06,ODR
ESR8_189,12/08/2019,nan,LU,Wetlands,Wetlands,nan,68.34750000,18.96527800,nan,nan,nan,Arctic swamp,Soil chambers,Storflaket,Abisko,Lapland,Sweden,Europe,ESR4,Supelco Flexfoil bags,nan,IRMS,UU,4,-96.49,0.3178,0.997625752,821,7,4,-357.6,5.3250623,0.997107442,873,8,ODR
ESR8_190,12/08/2019,nan,LU,Wetlands,Wetlands,nan,68.34750000,18.96527800,nan,nan,nan,Arctic swamp,Soil chambers,Storflaket,Abisko,Lapland,Sweden,Europe,ESR4,Supelco Flexfoil bags,nan,IRMS,UU,4,-61.68,0.0566,0.99570714,6358,16,4,-357.1,0.544204058,0.999551264,6098,174,ODR
ESR8_50,29/06/2018,08:53:00,UU,Oceans,Oceans,nan,55.32133300,4.03400000,nan,nan,nan,Marine seap,"Surface chamber, ship",Dogger bank,North Sea,,The Netherlands/UK,Europe,Pelagia,Glass flasks/Supelco Flexfoil bags,nan,IRMS,UU,5,-67.21,1.6317,0.96699064,171.61,6.15,5,-357.1,6.110330256,0.948588996,100.1,27.8,ODR
ESR9_160,27/08/2019,nan,RHUL/UU,Waste,Waste,5D,44.40063230,26.05205590,nan,nan,nan,Urban streets,"Mobile inlet, car",Aleea Posada,Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU,4,-49.25,0.0117,0.998983399,66981.20225,0,4,-355.9,0.9326,0.999702668,66989.84965,0,BSCE Bisector
ESR8_152,22/03/2019,nan,UU/AGH,Agriculture,Agriculture,3B,49.98984100,18.69506800,nan,nan,nan,Cow farm,"Mobile inlet, car",nan,Waszowice,Silesia,Poland,Europe,Secondment ESR8 @AGH,Supelco Flexfoil bags,nan,IRMS,UU,4,-61.45,0.0281,0.934612648,3389.16,13.16,4,-355.6,2.063891838,0.999024479,3075.28,8.74,ODR
ESR8_200,12/08/2019,nan,LU,Wetlands,Wetlands,nan,68.42527800,18.17472200,nan,nan,nan,Arctic swamp,Soil chambers,Kattejokk,Abisko,Lapland,Sweden,Europe,ESR4,Supelco Flexfoil bags,nan,IRMS,UU,4,-67.44,0.1126,0.999758301,1763,7,4,-355.0,1.680926291,0.99281536,1758,17,ODR
ESR8_196,12/08/2019,nan,LU,Wetlands,Wetlands,nan,68.35138900,18.87833300,nan,nan,nan,Arctic swamp,Soil chambers,Kursflaket,Abisko,Lapland,Sweden,Europe,ESR4,Supelco Flexfoil bags,nan,IRMS,UU,5,-74.94,0.3377,0.993433043,438,5,5,-353.7,14.7482625,0.995644202,436,3,ODR
ESR9_168,28/08/2019,nan,RHUL/UU,Waste,Waste,5D,44.40842000,26.17182000,nan,nan,nan,Urban streets,"Mobile inlet, car",Str Trapezului ,Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU/RHUL,2,-48.61,0.0283,1,29975.02347,0,2,-351.9,0.001381,1,29972.99713,0,BSCE Bisector
ESR8_339,15/10/2019,14:33,UU/INCAS,Waste,Waste,5D,44.943395,26.045057,nan,nan,nan,Urban streets,"Inside manhole, on foot",Str. Meșterul Manole x Pielari,Ploiesti,Prahova,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,2,-47.33095847,0.030521751,1,119498.35,8.81,2,-349.3365612,0.274446688,1,120868.14,8.85,ODR
ESR9_187,16/10/2019,nan,RHUL/UU,Waste,Waste,5D,44.41790300,26.11316800,nan,nan,nan,Urban streets,"Mobile inlet, car","Bd. Mircea Vodă, manhole",Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU,2,-47.75,0.1345,1,81952.6,0.00439,2,-348.8,0.001699,1,84863.54,0.00002,BSCE Bisector
ESR8_77,08/11/2018,nan,UU,Waste,Unknown,5D,53.55711300,9.99677300,S,nan,nan,City streets,"Inside ventilation pipe, on foot",Lombardsbrücke,Hamburg,Hamburg,Germany,Europe,CCAC,Supelco Flexfoil bags,nan,IRMS,UU,6,-46.62,0.1203,0.940693,12786.25,57,6,-347.1,0.069190266,0.998449021,13677.93,105.19,ODR
ESR9_184,16/10/2019,nan,RHUL/UU,Waste,Waste,5D,44.41701700,26.12680100,nan,nan,nan,Urban streets,"Mobile inlet, car","Str Zizin, manhole",Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU,2,-47.96,2.4570,1,10583.63684,0.02419,2,-346.8,0.5947,1,10747.73189,0.0377,BSCE Bisector
ESR8_69,18/10/2018,nan,UU,Unknown,Unknown,nan,53.49147000,9.97216000,NNW,nan,nan,City streets,"Mobile inlet, car",Hamburg-Wilhelmsburg,Hamburg,Hamburg,Germany,Europe,CCAC,Supelco Flexfoil bags,nan,IRMS,UU,2,-48.68,0.7520,1,154.77,7.83,2,-346.4,54.66274249,1,129.49,15.33,ODR
ESR8_192,12/08/2019,nan,LU,Wetlands,Wetlands,nan,68.34750000,18.96527800,nan,nan,nan,Arctic swamp,Soil chambers,Storflaket,Abisko,Lapland,Sweden,Europe,ESR4,Supelco Flexfoil bags,nan,IRMS,UU,4,-54.87,0.0754,0.987262661,4641,10,4,-345.3,1.646204949,0.998983339,4436,12,ODR
ESR9_169,28/08/2019,nan,RHUL/UU,Waste,Waste,5D,44.40628000,26.13465000,nan,nan,nan,Urban streets,"Mobile inlet, car",Str Drumețului,Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU/RHUL,2,-49.00,0.0042,1,145975.0235,0,2,-345.0,0.01537,1,145972.9971,0,BSCE Bisector
ESR9_163,28/08/2019,nan,RHUL/UU,Waste,Waste,5D,44.42030000,26.11094000,nan,nan,nan,Urban streets,"Mobile inlet, car",Splaiul Unirii-2,Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU/RHUL,3,-47.91,0.2007,0.00689792,39475.02347,0,3,-344.9,1.425,0.999402611,39472.99713,0,BSCE Bisector
ESR8_158,15/05/2019,nan,RHUL,Waste,Waste,5D,51.39603917,-0.54023850,nan,nan,nan,STP,"Mobile inlet, car",Chertsey STP,Chertsey,South East England,United Kingdom,Europe,Secondment ESR7 @UU,SKC Flexfoil bags,nan,IRMS,UU,5,nan,nan,nan,nan,nan,5,-344.0,7.434768704,0.995581956,530.36,12.9,ODR
ESR9_164,28/08/2019,nan,RHUL/UU,Waste,Waste,5D,44.41647000,26.12249000,nan,nan,nan,Urban streets,"Mobile inlet, car",St Foișorului & Strada Zizin,Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU/RHUL,2,-48.45,0.0015,1,11615.16267,0.003123392,2,-342.1,0.3646,1,11731.27586,0.029391457,BSCE Bisector
ESR8_145,21/03/2019,nan,UU/AGH,Mixed,Unknown,nan,50.06714400,19.91251400,nan,nan,nan,Sewage network,"Inside manhole, on foot",AGH,Krakow,Krakow,Poland,Europe,Secondment ESR8 @AGH,Supelco Flexfoil bags,nan,IRMS,UU,3,-51.26,0.0964,0.946603495,1419.359793,16.10334631,3,-338.1,2.623513881,0.975352555,1436.458023,12.80583473,ODR
ESR8_191,12/08/2019,nan,LU,Wetlands,Wetlands,nan,68.34750000,18.96527800,nan,nan,nan,Arctic swamp,Soil chambers,Storflaket,Abisko,Lapland,Sweden,Europe,ESR4,Supelco Flexfoil bags,nan,IRMS,UU,4,-57.53,0.1472,0.996289624,1895,11,4,-337.7,3.55471759,0.994605919,1879,4,ODR
ESR8_201,12/08/2019,nan,LU,Wetlands,Wetlands,nan,68.42527800,18.17472200,nan,nan,nan,Arctic swamp,Soil chambers,Kattejokk,Abisko,Lapland,Sweden,Europe,ESR4,Supelco Flexfoil bags,nan,IRMS,UU,4,-71.39,0.0817,0.995631448,2827,7,4,-337.7,1.02049731,0.999322081,2752,31,ODR
ESR8_194,12/08/2019,nan,LU,Wetlands,Wetlands,nan,68.35138900,18.87833300,nan,nan,nan,Arctic swamp,Soil chambers,Kursflaket,Abisko,Lapland,Sweden,Europe,ESR4,Supelco Flexfoil bags,nan,IRMS,UU,5,-72.19,0.1919,0.999395209,963,6,5,-337.5,6.091995534,0.998047074,938,3,ODR
ESR8_341,15/10/2019,13:00,UU/INCAS,Waste,Unknown,5D,44.928665,26.00758,nan,nan,nan,Urban streets,"Mobile inlet, car",Str. Baiului ,Ploiesti,Prahova,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,2,-47.24257413,0.783515913,1,200.65,10.01,2,-337.4257383,4.376421728,1,204.24,3.92,ODR
ESR9_188,16/10/2019,nan,RHUL/UU,Waste,Waste,5D,44.41845800,26.11240400,nan,nan,nan,Urban streets,"Mobile inlet, car",Splaiul Unirii ,Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU,3,-43.68,0.0438,0.992911625,1895.75,0.00049,3,-335.9,1.422,0.997357567,1748.4,0.00484,BSCE Bisector
ESR9_199,18/10/2019,nan,RHUL/UU,Waste,Waste,5D,44.39540400,26.22301000,nan,nan,nan,Sewage,"Mobile inlet, car","Glina sewage plant, W road",Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU,2,-49.85,0.0003,1,899.21,0.00015,2,-335.0,0.0005254,1,975.86,0.00375,BSCE Bisector
ESR9_165,28/08/2019,nan,RHUL/UU,Waste,Waste,5D,44.41379000,26.12259000,nan,nan,nan,Urban streets,"Mobile inlet, car",Str Foișorului ,Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU/RHUL,2,-46.72,0.0016,1,11763.34639,0.015651811,2,-332.8,0.09864,1,11776.76183,0.015651811,BSCE Bisector
ESR8_163,23/05/2019,nan,RHUL,Waste,Waste,5D,52.25009558,-0.80582907,nan,nan,nan,WWTP,"Mobile inlet, car",Northampton WWTP,Northampton,East Midlands England,United Kingdom,Europe,Secondment ESR7 @UU,SKC Flexfoil bags,nan,IRMS,UU,7,nan,nan,nan,nan,nan,7,-331.3,0.453280658,0.997053098,10206,13.05,ODR
ESR9_181,29/08/2019,nan,RHUL/UU,Waste,Waste,5D,44.43387000,26.01765000,nan,nan,nan,Urban streets,"Mobile inlet, car",Bulevardul Iuliu Maniu,Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU/RHUL,2,-44.22,0.0026,1,1463.244423,0.000732508,2,-331.0,0.004507,1,1004.105091,0.00091,BSCE Bisector
ESR8_342,15/10/2019,15:05,UU/INCAS,Waste,Waste,5D,44.951212,26.021125,nan,nan,nan,Urban streets,"Inside manhole, on foot",Str. Nucilor,Ploiesti,Prahova,Romania,Europe,ROMEO,Supelco/SKC Flexfoil bags,nan,IRMS,UU,2,-36.78310649,0.09329431,1,54430.75,6.45,2,-329.7413544,1.822959201,1,54987.94,3.84,ODR
ESR8_14,29/03/2018,nan,UU,Agriculture,Agriculture,3B,52.06836900,5.17262300,SW,nan,nan,Cow farm,"Fixed locations around the facility, on foot",De Zonnewijzer,Bunnik,Utrecht,The Netherlands,Europe,ESR8,Hand pump,nan,IRMS,UU,nan,nan,nan,nan,nan,nan,8,-329.5,5.323924906,0.992111689,1213.869367,28.21099722,ODR
ESR8_107,05/02/2019,nan,UU/AGH,Waste,Waste,5D,50.05860100,20.10258500,WSW,nan,nan,Sewage treatment plant,"Inside manhole, on foot",Kujawy STP,Krakow,Krakow,Poland,Europe,Secondment ESR8 @AGH,Supelco Flexfoil bags,nan,IRMS,UU,4,-45.41,0.0823,0.93989598,409401.26,24.7,4,-329.2,3.061265096,0.999297021,1670.87,23.07,ODR
ESR9_162,28/08/2019,nan,RHUL/UU,Waste,Waste,5D,44.42240000,26.11027000,nan,nan,nan,Urban streets,"Mobile inlet, car",Splaiul Unirii-1,Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU/RHUL,2,-48.79,0.0055,1,1928.275497,0.001019929,2,-328.2,0.2641,1,1956.438491,0.019970725,BSCE Bisector
ESR8_30,06/06/2018,nan,UU,Agriculture,Agriculture,3B,51.98501900,5.65456800,nan,nan,nan,Experimental farm,Cow hood,WUR,Wageningen,Gelderland,The Netherlands,Europe,ESR8,Ventilation,nan,IRMS,UU,4,-59.49,0.0024,0.945737513,309607.7844,764.767008,4,-326.6,1.333188494,0.999157158,308416.6255,40.64240111,ODR
ESR9_166,28/08/2019,nan,RHUL/UU,Waste,Waste,5D,44.41731000,26.12811200,nan,nan,nan,Urban streets,"Mobile inlet, car",Strada Zizin,Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU/RHUL,2,-46.81,0.0013,1,12949.47192,0.013342321,2,-325.8,0.06042,1,12962.88736,0.013342321,BSCE Bisector
ESR8_12,23/01/2018,nan,UU,Agriculture,Agriculture,3B,52.06836900,5.17262300,WSW,nan,nan,Cow farm,"Fixed locations around the facility, on foot",De Zonnewijzer,Bunnik,Utrecht,The Netherlands,Europe,ESR8,Hand pump,nan,IRMS,UU,nan,nan,nan,nan,nan,nan,8,-325.7,2.064188273,0.998539585,5978.709448,85.81344106,ODR
ESR8_10,11/01/2018,nan,UU,Agriculture,Agriculture,3B,52.07158500,5.17904300,NW,nan,nan,Cow farm,"Fixed locations around the facility, on foot",Rhijnauwenselaan,Bunnik,Utrecht,The Netherlands,Europe,ESR8,Hand pump,nan,IRMS,UU,nan,nan,nan,nan,nan,nan,8,-323.7,20.38623692,0.668070564,242.96518,30.15903098,ODR
ESR9_161,27/08/2019,nan,RHUL/UU,Waste,Waste,5D,44.40242830,26.05701460,nan,nan,nan,Urban streets,"Mobile inlet, car",Str Garoafei ,Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU,4,-47.58,0.3670,0.233664981,7106.026864,0.073118951,4,-323.6,44.78,0.080434839,7062.971352,0.030941239,BSCE Bisector
ESR8_195,12/08/2019,nan,LU,Wetlands,Wetlands,nan,68.35138900,18.87833300,nan,nan,nan,Arctic swamp,Soil chambers,Kursflaket,Abisko,Lapland,Sweden,Europe,ESR4,Supelco Flexfoil bags,nan,IRMS,UU,5,-74.12,0.3608,0.999484428,556,14,5,-323.6,5.633559823,0.991413558,575,3,ODR
ESR8_159,15/05/2019,nan,RHUL,Waste,Waste,5D,51.43308500,-0.98041400,nan,nan,nan,WWTP,"Mobile inlet, car",Reading WTP,Reading,South East England,United Kingdom,Europe,Secondment ESR7 @UU,SKC Flexfoil bags,nan,IRMS,UU,3,nan,nan,nan,nan,nan,3,-323.2,21.79286507,0.966862724,204.45,19.04,ODR
ESR8_11,18/01/2018,nan,UU,Agriculture,Agriculture,3B,52.07158500,5.17904300,WNW,nan,nan,Cow farm,"Fixed locations around the facility, on foot",Rhijnauwenselaan,Bunnik,Utrecht,The Netherlands,Europe,ESR8,Hand pump,nan,IRMS,UU,nan,nan,nan,nan,nan,nan,8,-320.8,5.544775498,0.855787264,162.304891,15.24844927,ODR
ESR8_31,06/06/2018,nan,UU,Agriculture,Agriculture,3B,51.98501900,5.65456800,nan,nan,nan,Experimental farm,Cow hood,WUR,Wageningen,Gelderland,The Netherlands,Europe,ESR8,Ventilation,nan,IRMS,UU,4,-61.42,0.0763,0.738596465,115164.6102,14.05986268,4,-319.9,3.945521682,0.998732015,113741.7414,40.34658048,ODR
ESR8_185,01/07/2019,nan,UU,Waste,Waste,5D,52.08201500,5.12178600,nan,nan,nan,Sewage network,"Inside manhole, on foot",Pelmolenplantsoen,Utrecht,Utrecht,The Netherlands,Europe,CCAC,Supelco Flexfoil bags,nan,IRMS,UU,3,-52.74,0.0458,0.998613168,14704.38,61.21,3,-317.5,1.574098053,0.999397845,14779.05,64.26,ODR
ESR8_166,23/05/2019,nan,RHUL,Waste,Waste,5B,52.41370654,-0.78896312,nan,nan,nan,Biogas plant,"Mobile inlet, car",Fernbrook biogas,Rothwell,Yorkshire England,United Kingdom,Europe,Secondment ESR7 @UU,SKC Flexfoil bags,nan,IRMS,UU,7,nan,nan,nan,nan,nan,7,-316.8,4.141884082,0.989540963,908.68,19.79,ODR
ESR8_160,16/05/2019,nan,LSCE,Waste,Waste,5A,48.63834200,2.73427000,nan,nan,nan,Active landfill,"Mobile inlet, car",Butte Bellot,Soignolles-en-Brie,Île-de-France,France,Europe,ESR5,Supelco Flexfoil bags,nan,IRMS,UU,4,-63.57,0.1683,0.981676109,1146.68,12.35,4,-316.5,4.095004221,0.982622477,957.1,47.49,ODR
ESR8_105,05/02/2019,nan,UU/AGH,Waste,Waste,5D,50.04989200,19.93565000,WSW,nan,nan,Sewage network,"Inside manhole, on foot",Grunwaldski bridge,Krakow,Krakow,Poland,Europe,Secondment ESR8 @AGH,Supelco Flexfoil bags,nan,IRMS,UU,4,-50.08,0.0969,0.998502895,2886.96,19.09,4,-316.2,1.760160564,0.999696702,2687.44,28.55,ODR
ESR9_157,27/08/2019,nan,RHUL/UU,Waste,Waste,5D,44.38720000,26.08512000,nan,nan,nan,Urban streets,"Mobile inlet, car",Aleea Lacob Andrei,Bucharest,Bucharest,Romania,Europe,ROMEO-City,SKC Flexfoil bags,nan,IRMS,UU/RHUL,2,-48.07,2.8780,1,240.0827807,0.000193427,2,-316.2,0.003025,1,246.5140606,0.002827209,BSCE Bisector
ESR8_202,12/08/2019,nan,LU,Wetlands,Wetlands,nan,68.42527800,18.17472200,nan,nan,nan,Arctic swamp,Soil chambers,Kattejokk,Abisko,Lapland,Sweden,Europe,ESR4,Supelco Flexfoil bags,nan,IRMS,UU,4,-91.23,0.2137,0.999549706,1141,7,4,-316.2,2.450967365,0.994538547,1130,8,ODR
ESR8_104,10/01/2019,nan,LSCE,Waste,Waste,5A,48.64140900,2.73828900,nan,nan,nan,Active landfill,"Mobile inlet, car",Butte Bellot,Soignolles-en-Brie,Île-de-France,France,Europe,ESR5,Tedlar bags,nan,IRMS,UU,4,-63.50,0.0911,0.992297491,2055.08,14.32,4,-314.4,1.69409686,0.997971325,1807.03,13.49,ODR
ESR8_88,09/11/2018,nan,UU,Waste,Waste,5D,53.51684000,9.91380075,SE,nan,nan,Outside WWTP,"Mobile inlet, car",Dradenaustrasse,Hamburg,Hamburg,Germany,Europe,CCAC,Supelco Flexfoil bags,nan,IRMS,UU,9,-63.49,0.5668,-5.427233289,404.74,10.91,9,-313.7,5.554751002,0.901605342,469.98,21.14,ODR
ESR8_76,08/11/2018,nan,UU,Waste,Unknown,5D,53.54829700,9.97353600,S,nan,nan,City streets,"Mobile inlet, car",Neumayerstrasse,Hamburg,Hamburg,Germany,Europe,CCAC,Supelco Flexfoil bags,nan,IRMS,UU,6,-49.37,0.0379,0.921100775,925.08,8.55,6,-309.0,2.762493065,0.992064049,1039.67,7.01,ODR
ESR8_94,27/11/2018,nan,LSCE,Waste,Waste,5A,48.64140900,2.73828900,nan,nan,nan,Active landfill,"Mobile inlet, car",Butte Bellot,Soignolles-en-Brie,Île-de-France,France,Europe,ESR5,Tedlar bags,nan,IRMS,UU,6,-64.12,0.0319,0.92525914,21364.67,106.18,6,-307.1,1.183832468,0.941329143,19370.97,87.84,ODR
ESR8_92,11/11/2018,nan,UU,Waste,Unknown,5D,53.44522100,10.22810200,E,nan,nan,City streets,"Mobile inlet, car",Neuengammer Hausdeich,Hamburg,Hamburg,Germany,Europe,CCAC,Supelco Flexfoil bags,nan,IRMS,UU,4,-58.24,0.0980,0.97134696,802.68,10.08,4,-306.6,5.179909566,0.998891383,896.36,6.26,ODR
ESR8_32,06/06/2018,nan,UU,Agriculture,Agriculture,3B,51.98501900,5.65456800,nan,nan,nan,"Experimental farm, in the barn","Inside the barn, on foot",WUR,Wageningen,Gelderland,The Netherlands,Europe,ESR8,Ventilation,nan,IRMS,UU,4,-56.40,0.1712,0.98773438,42113.47947,3418.406472,4,-303.0,0.204890151,0.999808037,53271.86556,179.1134767,ODR
ESR8_186,01/07/2019,nan,UU,Fossil fuel,Unknown,1B2,52.08432300,5.08391600,nan,nan,nan,City streets,"Mobile inlet, car",Joseph Haydnlaan,Utrecht,Utrecht,The Netherlands,Europe,CCAC,Supelco Flexfoil bags,nan,IRMS,UU,2,-43.20,0.0473,1,5678.35,20.11,2,-302.5,2.275616695,1,6033.3,61.01,ODR
